0	1	0
0.01	0.998027	-0.394524
0.02	0.992115	-0.787492
0.03	0.982287	-1.17735
0.04	0.968583	-1.56256
0.05	0.951057	-1.94161
0.06	0.929776	-2.31299
0.07	0.904827	-2.67525
0.08	0.876307	-3.02695
0.09	0.844328	-3.3667
0.1	0.809017	-3.69316
0.11	0.770513	-4.00505
0.12	0.728969	-4.30114
0.13	0.684547	-4.58024
0.14	0.637424	-4.84128
0.15	0.587785	-5.0832
0.16	0.535827	-5.30507
0.17	0.481754	-5.506
0.18	0.425779	-5.6852
0.19	0.368125	-5.84196
0.2	0.309017	-5.97566
0.21	0.24869	-6.08579
0.22	0.187381	-6.17189
0.23	0.125333	-6.23364
0.24	0.0627905	-6.27079
0.25	-4.59767e-11	-6.28319
0.26	-0.0627905	-6.27079
0.27	-0.125333	-6.23364
0.28	-0.187381	-6.17189
0.29	-0.24869	-6.08579
0.3	-0.309017	-5.97566
0.31	-0.368125	-5.84196
0.32	-0.425779	-5.6852
0.33	-0.481754	-5.506
0.34	-0.535827	-5.30507
0.35	-0.587785	-5.0832
0.36	-0.637424	-4.84128
0.37	-0.684547	-4.58024
0.38	-0.728969	-4.30114
0.39	-0.770513	-4.00505
0.4	-0.809017	-3.69316
0.41	-0.844328	-3.3667
0.42	-0.876307	-3.02695
0.43	-0.904827	-2.67525
0.44	-0.929776	-2.31299
0.45	-0.951057	-1.94161
0.46	-0.968583	-1.56256
0.47	-0.982287	-1.17735
0.48	-0.992115	-0.787492
0.49	-0.998027	-0.394524
0.5	-1	5.77758e-10
0.51	-0.998027	0.394524
0.52	-0.992115	0.787492
0.53	-0.982287	1.17735
0.54	-0.968583	1.56256
0.55	-0.951057	1.94161
0.56	-0.929776	2.31299
0.57	-0.904827	2.67525
0.58	-0.876307	3.02695
0.59	-0.844328	3.3667
0.6	-0.809017	3.69316
0.61	-0.770513	4.00505
0.62	-0.728969	4.30114
0.63	-0.684547	4.58024
0.64	-0.637424	4.84128
0.65	-0.587785	5.0832
0.66	-0.535827	5.30507
0.67	-0.481754	5.506
0.68	-0.425779	5.6852
0.69	-0.368125	5.84196
0.7	-0.309017	5.97566
